date,store_id,store_city,product_id,product_name,category,units_demanded,units_sold,lost_sales_units,returns_units,stock_on_hand_end,purchase_order_qty,received_qty,unit_price_eur,supplier_unit_cost_eur,revenue_eur,promotion_flag,discount_pct,campaign_flag,holiday_flag,holiday_name,is_weekend,day_of_week,temperature_c,rainfall_mm,competitor_price_eur,lead_time_days,actual_delivery_delay_days,ordering_cost_eur,holding_cost_per_unit_year_eur,service_level_target,price_change_flag,anomaly_flag,anomaly_type
2023-01-20,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,60,60,0,0,402,0,0,1.26,0.78,75.60,0,0,0,0,,0,Friday,8.1,4.9,1.36,2,0,14.00,0.15,0.97,0,0,
2023-01-21,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,73,73,0,0,329,0,0,1.27,0.78,92.71,0,0,0,0,,1,Saturday,1.3,17.2,1.34,2,0,14.00,0.15,0.97,0,0,
2023-01-22,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,99,99,0,0,230,460,0,1.06,0.78,104.94,1,15,0,0,,1,Sunday,3.0,0.0,1.22,2,0,14.00,0.15,0.97,0,0,
2023-01-23,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,42,42,0,0,188,70,0,1.24,0.78,52.08,0,0,0,0,,0,Monday,-0.2,13.4,1.21,2,2,14.00,0.15,0.97,0,0,
2023-01-24,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,47,47,0,1,602,0,460,1.26,0.78,59.22,0,0,0,0,,0,Tuesday,5.6,7.0,1.28,2,0,14.00,0.15,0.97,0,0,
2023-01-25,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,53,53,0,0,549,0,0,1.26,0.78,66.78,0,0,0,0,,0,Wednesday,5.8,3.3,1.33,2,0,14.00,0.15,0.97,0,0,
2023-01-26,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,46,46,0,0,503,0,0,1.24,0.78,57.04,0,0,0,0,,0,Thursday,5.4,0.0,1.33,2,0,14.00,0.15,0.97,0,0,
2023-01-27,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,54,54,0,0,519,0,70,1.25,0.78,67.50,0,0,0,0,,0,Friday,4.9,0.0,1.30,2,0,14.00,0.15,0.97,0,0,
2023-01-28,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,59,59,0,0,460,0,0,1.26,0.78,74.34,0,0,0,0,,1,Saturday,4.5,1.5,1.28,2,0,14.00,0.15,0.97,0,0,
2023-01-29,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,53,53,0,0,407,0,0,1.24,0.78,65.72,0,0,0,0,,1,Sunday,5.1,11.7,1.34,2,0,14.00,0.15,0.97,0,0,
2023-01-30,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,44,44,0,0,363,0,0,1.25,0.78,55.00,0,0,0,0,,0,Monday,7.1,5.9,1.25,2,0,14.00,0.15,0.97,0,0,
2023-01-31,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,52,52,0,0,311,0,0,1.25,0.78,65.00,0,0,0,0,,0,Tuesday,5.5,0.0,1.29,2,0,14.00,0.15,0.97,0,0,
2023-02-01,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,47,47,0,0,264,450,0,1.25,0.78,58.75,0,0,0,0,,0,Wednesday,3.5,3.5,1.24,2,0,14.00,0.15,0.97,0,0,
2023-02-02,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,48,48,0,0,216,50,0,1.24,0.78,59.52,0,0,0,0,,0,Thursday,8.0,6.7,1.21,2,0,14.00,0.15,0.97,0,0,
2023-02-03,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,54,54,0,0,612,0,450,1.25,0.78,67.50,0,0,0,0,,0,Friday,5.1,12.6,1.37,2,0,14.00,0.15,0.97,0,0,
2023-02-04,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,59,59,0,0,603,0,50,1.26,0.78,74.34,0,0,0,0,,1,Saturday,8.0,4.2,1.19,2,0,14.00,0.15,0.97,0,0,
2023-02-05,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,64,64,0,1,540,0,0,1.26,0.78,80.64,0,0,0,0,,1,Sunday,10.8,0.0,1.19,2,0,14.00,0.15,0.97,0,0,
2023-02-06,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,48,48,0,2,494,0,0,1.26,0.78,60.48,0,0,0,0,,0,Monday,6.4,0.0,1.22,2,0,14.00,0.15,0.97,0,0,
2023-02-07,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,47,47,0,0,447,0,0,1.26,0.78,59.22,0,0,0,0,,0,Tuesday,4.9,8.8,1.23,2,0,14.00,0.15,0.97,0,0,
2023-02-08,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,51,51,0,0,396,0,0,1.26,0.78,64.26,0,0,0,0,,0,Wednesday,1.9,0.0,1.21,2,0,14.00,0.15,0.97,0,0,
2023-02-09,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,51,51,0,0,345,0,0,1.25,0.78,63.75,0,0,0,0,,0,Thursday,8.1,0.0,1.34,2,0,14.00,0.15,0.97,0,0,
2023-02-10,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,41,41,0,0,304,0,0,1.27,0.78,52.07,0,0,0,0,,0,Friday,4.9,0.0,1.17,2,0,14.00,0.15,0.97,0,0,
2023-02-11,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,61,61,0,0,243,380,0,1.25,0.78,76.25,0,0,0,0,,1,Saturday,9.0,4.1,1.23,2,0,14.00,0.15,0.97,0,0,
2023-02-12,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,90,90,0,0,153,180,0,1.14,0.78,102.60,1,10,0,0,,1,Sunday,7.5,2.8,1.36,2,1,14.00,0.15,0.97,0,0,
2023-02-13,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,50,50,0,0,483,0,380,1.26,0.78,63.00,0,0,0,0,,0,Monday,4.3,0.0,1.37,2,0,14.00,0.15,0.97,0,0,
2023-02-14,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,46,46,0,0,437,0,0,1.25,0.78,57.50,0,0,0,0,,0,Tuesday,3.7,5.1,1.22,2,0,14.00,0.15,0.97,0,0,
2023-02-15,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,42,42,0,0,575,0,180,1.25,0.78,52.50,0,0,0,0,,0,Wednesday,8.5,0.0,1.28,2,0,14.00,0.15,0.97,0,0,
2023-02-16,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,49,49,0,0,526,0,0,1.26,0.78,61.74,0,0,0,0,,0,Thursday,4.7,0.0,1.28,2,0,14.00,0.15,0.97,0,0,
2023-02-17,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,56,56,0,0,470,0,0,1.25,0.78,70.00,0,0,0,0,,0,Friday,3.5,0.0,1.22,2,0,14.00,0.15,0.97,0,0,
2023-02-18,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,60,60,0,0,410,0,0,1.26,0.78,75.60,0,0,0,0,,1,Saturday,7.0,0.0,1.20,2,0,14.00,0.15,0.97,0,0,
2023-02-19,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,56,56,0,0,354,0,0,1.26,0.78,70.56,0,0,0,0,,1,Sunday,5.8,0.0,1.27,2,0,14.00,0.15,0.97,0,0,
2023-02-20,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,53,53,0,0,301,0,0,1.25,0.78,66.25,0,0,0,0,,0,Monday,5.1,8.5,1.28,2,0,14.00,0.15,0.97,0,0,
2023-02-21,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,92,92,0,0,209,480,0,0.99,0.78,91.08,1,20,0,0,,0,Tuesday,3.7,0.0,1.29,2,0,14.00,0.15,0.97,0,0,
2023-02-22,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,52,52,0,0,157,80,0,1.25,0.78,65.00,0,0,0,0,,0,Wednesday,10.7,0.0,1.18,2,0,14.00,0.15,0.97,0,0,
2023-02-23,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,58,58,0,2,581,0,480,1.25,0.78,72.50,0,0,0,0,,0,Thursday,9.2,0.0,1.29,2,0,14.00,0.15,0.97,0,0,
2023-02-24,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,43,43,0,0,618,0,80,1.25,0.78,53.75,0,0,0,0,,0,Friday,8.4,23.8,1.31,2,0,14.00,0.15,0.97,0,0,
2023-02-25,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,65,65,0,0,553,0,0,1.26,0.78,81.90,0,0,0,0,,1,Saturday,10.3,2.1,1.26,2,0,14.00,0.15,0.97,0,0,
2023-02-26,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,51,51,0,0,502,0,0,1.26,0.78,64.26,0,0,0,0,,1,Sunday,7.9,0.0,1.31,2,0,14.00,0.15,0.97,0,0,
2023-02-27,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,40,40,0,0,462,0,0,1.26,0.78,50.40,0,0,0,0,,0,Monday,6.0,0.0,1.24,2,0,14.00,0.15,0.97,0,0,
2023-02-28,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,72,72,0,0,390,0,0,1.13,0.78,81.36,1,10,0,0,,0,Tuesday,5.0,1.9,1.29,2,0,14.00,0.15,0.97,0,0,
2023-03-01,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,43,43,0,0,347,0,0,1.25,0.78,53.75,0,0,0,0,,0,Wednesday,7.0,0.0,1.22,2,0,14.00,0.15,0.97,0,0,
2023-03-02,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,57,57,0,2,292,390,0,1.26,0.78,71.82,0,0,0,0,,0,Thursday,7.5,0.8,1.35,2,1,14.00,0.15,0.97,0,0,
2023-03-03,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,56,56,0,0,236,80,0,1.26,0.78,70.56,0,0,0,0,,0,Friday,6.0,0.0,1.35,2,2,14.00,0.15,0.97,0,0,
2023-03-04,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,52,52,0,0,184,70,0,1.26,0.78,65.52,0,0,0,0,,1,Saturday,8.8,3.9,1.25,2,0,14.00,0.15,0.97,0,0,
2023-03-05,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,65,65,0,2,511,0,390,1.26,0.78,81.90,0,0,0,0,,1,Sunday,5.1,0.0,1.18,2,0,14.00,0.15,0.97,0,0,
2023-03-06,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,45,45,0,0,536,0,70,1.27,0.78,57.15,0,0,0,0,,0,Monday,3.5,0.0,1.21,2,0,14.00,0.15,0.97,0,0,
2023-03-07,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,46,46,0,0,570,0,80,1.27,0.78,58.42,0,0,0,0,,0,Tuesday,10.9,14.4,1.37,2,0,14.00,0.15,0.97,0,0,
2023-03-08,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,47,47,0,0,523,0,0,1.26,0.78,59.22,0,0,0,0,,0,Wednesday,8.6,19.2,1.29,2,0,14.00,0.15,0.97,0,0,
2023-03-09,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,52,52,0,0,471,0,0,1.25,0.78,65.00,0,0,0,0,,0,Thursday,8.7,0.0,1.29,2,0,14.00,0.15,0.97,0,0,
2023-03-10,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,50,50,0,0,421,0,0,1.26,0.78,63.00,0,0,0,0,,0,Friday,8.5,13.9,1.31,2,0,14.00,0.15,0.97,0,0,
2023-03-11,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,68,68,0,0,353,0,0,1.26,0.78,85.68,0,0,0,0,,1,Saturday,10.1,0.0,1.26,2,0,14.00,0.15,0.97,0,0,
2023-03-12,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,74,74,0,0,279,370,0,1.26,0.78,93.24,0,0,0,0,,1,Sunday,12.0,0.0,1.22,2,0,14.00,0.15,0.97,0,0,
2023-03-13,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,36,36,0,0,243,120,0,1.26,0.78,45.36,0,0,0,0,,0,Monday,9.3,0.0,1.35,2,1,14.00,0.15,0.97,0,0,
2023-03-14,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,44,44,0,0,569,0,370,1.33,0.78,58.52,0,0,0,0,,0,Tuesday,10.6,0.0,1.29,2,0,14.00,0.15,0.97,1,0,
2023-03-15,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,46,46,0,0,523,0,0,1.26,0.78,57.96,0,0,0,0,,0,Wednesday,15.3,0.0,1.20,2,0,14.00,0.15,0.97,0,0,
2023-03-16,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,49,49,0,0,594,0,120,1.26,0.78,61.74,0,0,0,0,,0,Thursday,12.9,0.0,1.20,2,0,14.00,0.15,0.97,0,0,
2023-03-17,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,50,50,0,0,544,0,0,1.27,0.78,63.50,0,0,0,0,,0,Friday,13.1,0.0,1.28,2,0,14.00,0.15,0.97,0,0,
2023-03-18,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,60,60,0,0,484,0,0,1.25,0.78,75.00,0,0,0,0,,1,Saturday,12.7,0.0,1.33,2,0,14.00,0.15,0.97,0,0,
2023-03-19,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,90,90,0,0,394,0,0,1.08,0.78,97.20,1,15,0,0,,1,Sunday,13.3,4.0,1.37,2,0,14.00,0.15,0.97,0,0,
2023-03-20,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,52,52,0,0,342,0,0,1.25,0.78,65.00,0,0,0,0,,0,Monday,8.9,0.0,1.30,2,0,14.00,0.15,0.97,0,0,
2023-03-21,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,52,52,0,0,290,390,0,1.26,0.78,65.52,0,0,0,0,,0,Tuesday,11.3,0.0,1.25,2,1,14.00,0.15,0.97,0,0,
2023-03-22,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,53,53,0,0,237,90,0,1.25,0.78,66.25,0,0,0,0,,0,Wednesday,12.9,14.9,1.22,2,2,14.00,0.15,0.97,0,0,
2023-03-23,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,53,53,0,0,184,60,0,1.25,0.78,66.25,0,0,0,0,,0,Thursday,10.3,8.4,1.21,2,1,14.00,0.15,0.97,0,0,
2023-03-24,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,67,67,0,0,507,0,390,1.27,0.78,85.09,0,0,0,0,,0,Friday,13.4,0.0,1.23,2,0,14.00,0.15,0.97,0,0,
2023-03-25,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,50,50,0,0,457,0,0,1.26,0.78,63.00,0,0,0,0,,1,Saturday,8.6,1.7,1.24,2,0,14.00,0.15,0.97,0,0,
2023-03-26,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,63,63,0,0,544,0,150,1.27,0.78,80.01,0,0,0,0,,1,Sunday,16.2,0.0,1.34,2,0,14.00,0.15,0.97,0,0,
2023-03-27,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,39,39,0,0,505,0,0,1.26,0.78,49.14,0,0,0,0,,0,Monday,11.1,0.0,1.30,2,0,14.00,0.15,0.97,0,0,
2023-03-28,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,62,62,0,0,443,0,0,1.27,0.78,78.74,0,0,0,0,,0,Tuesday,12.7,0.0,1.22,2,0,14.00,0.15,0.97,0,0,
2023-03-29,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,47,47,0,0,396,0,0,1.26,0.78,59.22,0,0,0,0,,0,Wednesday,14.9,1.3,1.24,2,0,14.00,0.15,0.97,0,0,
2023-03-30,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,57,57,0,0,339,0,0,1.25,0.78,71.25,0,0,0,0,,0,Thursday,11.8,4.6,1.33,2,0,14.00,0.15,0.97,0,0,
2023-03-31,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,57,57,0,0,282,400,0,1.26,0.78,71.82,0,0,0,0,,0,Friday,11.7,0.0,1.25,2,0,14.00,0.15,0.97,0,0,
2023-04-01,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,85,85,0,0,197,130,0,1.14,0.78,96.90,1,10,0,0,,1,Saturday,14.2,0.0,1.37,2,1,14.00,0.15,0.97,0,0,
2023-04-02,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,51,51,0,0,546,0,400,1.26,0.78,64.26,0,0,1,0,,1,Sunday,12.0,14.0,1.18,2,0,14.00,0.15,0.97,0,0,
2023-04-03,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,50,50,0,0,496,0,0,1.26,0.78,63.00,0,0,0,0,,0,Monday,16.4,0.0,1.36,2,0,14.00,0.15,0.97,0,0,
2023-04-04,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,48,48,0,0,578,0,130,1.26,0.78,60.48,0,0,0,0,,0,Tuesday,14.3,0.0,1.19,2,0,14.00,0.15,0.97,0,0,
2023-04-05,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,56,56,0,0,522,0,0,1.25,0.78,70.00,0,0,0,0,,0,Wednesday,11.9,0.0,1.21,2,0,14.00,0.15,0.97,0,0,
2023-04-06,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,57,57,0,0,465,0,0,1.26,0.78,71.82,0,0,0,0,,0,Thursday,14.1,0.0,1.28,2,0,14.00,0.15,0.97,0,0,
2023-04-07,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,57,57,0,1,409,0,0,1.26,0.78,71.82,0,0,0,0,,0,Friday,14.4,14.8,1.24,2,0,14.00,0.15,0.97,0,0,
2023-04-08,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,113,113,0,0,296,430,0,0.95,0.78,107.35,1,25,0,0,,1,Saturday,16.5,0.0,1.32,2,0,14.00,0.15,0.97,0,0,
2023-04-09,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,59,59,0,0,237,50,0,1.24,0.78,73.16,0,0,0,0,,1,Sunday,14.4,0.0,1.33,2,1,14.00,0.15,0.97,0,0,
2023-04-10,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,64,64,0,0,603,0,430,1.14,0.78,72.96,1,10,0,0,,0,Monday,16.8,0.0,1.26,2,0,14.00,0.15,0.97,0,0,
2023-04-11,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,53,53,0,0,550,0,0,1.25,0.78,66.25,0,0,0,0,,0,Tuesday,17.4,0.0,1.31,2,0,14.00,0.15,0.97,0,0,
2023-04-12,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,54,54,0,0,546,0,50,1.25,0.78,67.50,0,0,0,0,,0,Wednesday,13.9,0.0,1.21,2,0,14.00,0.15,0.97,0,0,
2023-04-13,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,46,46,0,0,500,0,0,1.27,0.78,58.42,0,0,0,0,,0,Thursday,13.9,0.0,1.25,2,0,14.00,0.15,0.97,0,0,
2023-04-14,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,74,74,0,0,426,0,0,1.21,0.78,89.54,1,5,0,0,,0,Friday,18.7,0.0,1.25,2,0,14.00,0.15,0.97,0,0,
2023-04-15,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,65,65,0,0,361,0,0,1.26,0.78,81.90,0,0,0,0,,1,Saturday,14.3,0.0,1.33,2,0,14.00,0.15,0.97,0,0,
2023-04-16,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,105,105,0,0,256,400,0,0.95,0.78,99.75,1,25,0,0,,1,Sunday,14.2,0.0,1.27,2,0,14.00,0.15,0.97,0,0,
2023-04-17,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,54,54,0,1,203,110,0,1.25,0.78,67.50,0,0,0,0,,0,Monday,17.9,15.5,1.25,2,0,14.00,0.15,0.97,0,0,
2023-04-18,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,57,57,0,0,546,0,400,1.25,0.79,71.25,0,0,0,0,,0,Tuesday,17.1,5.1,1.36,2,0,14.00,0.15,0.97,0,0,
2023-04-19,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,52,52,0,0,604,0,110,1.27,0.79,66.04,0,0,0,0,,0,Wednesday,17.3,0.0,1.30,2,0,14.00,0.15,0.97,0,0,
2023-04-20,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,46,46,0,0,558,0,0,1.28,0.79,58.88,0,0,0,0,,0,Thursday,17.2,14.3,1.23,2,0,14.00,0.15,0.97,0,0,
2023-04-21,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,55,55,0,1,504,0,0,1.25,0.79,68.75,0,0,0,0,,0,Friday,15.9,6.9,1.26,2,0,14.00,0.15,0.97,0,0,
2023-04-22,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,62,62,0,0,442,0,0,1.27,0.79,78.74,0,0,0,0,,1,Saturday,15.0,0.0,1.19,2,0,14.00,0.15,0.97,0,0,
2023-04-23,STORE01,Podgorica,SKU101,Mlijeko 1L,Mliječni proizvodi,53,53,0,2,391,0,0,1.27,0.79,67.31,0,0,0,0,,1,Sunday,17.9,0.0,1.32,2,0,14.00,0.15,0.97,0,0,
