Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
211,7,2013-02-10,0,0,0,0,0,0
211,1,2013-02-11,12729,1613,1,0,0,0
211,2,2013-02-12,12284,1553,1,0,0,0
211,3,2013-02-13,12816,1532,1,0,0,0
211,4,2013-02-14,11583,1506,1,0,0,0
211,5,2013-02-15,11993,1484,1,0,0,0
211,6,2013-02-16,10477,1184,1,0,0,0
211,7,2013-02-17,0,0,0,0,0,0
211,1,2013-02-18,19790,2020,1,1,0,0
211,2,2013-02-19,15027,1655,1,1,0,0
211,3,2013-02-20,13380,1541,1,1,0,0
211,4,2013-02-21,14611,1611,1,1,0,0
211,5,2013-02-22,14772,1676,1,1,0,0
211,6,2013-02-23,9654,1112,1,0,0,0
211,7,2013-02-24,0,0,0,0,0,0
211,1,2013-02-25,10934,1483,1,0,0,0
211,2,2013-02-26,11808,1497,1,0,0,0
211,3,2013-02-27,11271,1366,1,0,0,0
211,4,2013-02-28,14061,1616,1,0,0,0
211,5,2013-03-01,13571,1566,1,0,0,0
211,6,2013-03-02,11638,1352,1,0,0,0
211,7,2013-03-03,0,0,0,0,0,0
211,1,2013-03-04,22417,2285,1,1,0,0
211,2,2013-03-05,17827,1849,1,1,0,0
211,3,2013-03-06,15369,1710,1,1,0,0
211,4,2013-03-07,15538,1787,1,1,0,0
211,5,2013-03-08,13223,1569,1,1,0,0
211,6,2013-03-09,9576,1180,1,0,0,0
211,7,2013-03-10,0,0,0,0,0,0
211,1,2013-03-11,11860,1509,1,0,0,0
211,2,2013-03-12,11311,1412,1,0,0,0
211,3,2013-03-13,11892,1471,1,0,0,0
211,4,2013-03-14,12170,1515,1,0,0,0
211,5,2013-03-15,12648,1509,1,0,0,0
211,6,2013-03-16,11796,1327,1,0,0,0
211,7,2013-03-17,0,0,0,0,0,0
211,1,2013-03-18,19459,1967,1,1,0,0
211,2,2013-03-19,14491,1606,1,1,0,0
211,3,2013-03-20,14191,1585,1,1,0,0
211,4,2013-03-21,13865,1575,1,1,0,0
211,5,2013-03-22,15355,1713,1,1,0,0
211,6,2013-03-23,11071,1221,1,0,0,0
211,7,2013-03-24,0,0,0,0,0,0
211,1,2013-03-25,19468,2002,1,1,0,1
211,2,2013-03-26,17842,1852,1,1,0,1
211,3,2013-03-27,15039,1656,1,1,0,1
211,4,2013-03-28,18240,1943,1,1,0,1
211,5,2013-03-29,0,0,0,1,b,1
211,6,2013-03-30,13310,1427,1,0,0,0
211,7,2013-03-31,0,0,0,0,0,0
211,1,2013-04-01,0,0,0,0,b,1
211,2,2013-04-02,14424,1677,1,0,0,1
211,3,2013-04-03,11833,1393,1,0,0,1
211,4,2013-04-04,11393,1407,1,0,0,1
211,5,2013-04-05,10517,1299,1,0,0,1
211,6,2013-04-06,9013,1072,1,0,0,0
211,7,2013-04-07,0,0,0,0,0,0
211,1,2013-04-08,18105,2003,1,1,0,0
211,2,2013-04-09,14742,1718,1,1,0,0
211,3,2013-04-10,13920,1584,1,1,0,0
211,4,2013-04-11,12568,1541,1,1,0,0
211,5,2013-04-12,13010,1617,1,1,0,0
211,6,2013-04-13,8698,1078,1,0,0,0
211,7,2013-04-14,0,0,0,0,0,0
211,1,2013-04-15,10969,1503,1,0,0,0
211,2,2013-04-16,10285,1358,1,0,0,0
211,3,2013-04-17,10587,1384,1,0,0,0
211,4,2013-04-18,10886,1397,1,0,0,0
211,5,2013-04-19,10800,1399,1,0,0,0
211,6,2013-04-20,8780,1067,1,0,0,0
211,7,2013-04-21,0,0,0,0,0,0
211,1,2013-04-22,18257,1896,1,1,0,0
211,2,2013-04-23,14687,1710,1,1,0,0
211,3,2013-04-24,12975,1543,1,1,0,0
211,4,2013-04-25,13229,1564,1,1,0,0
211,5,2013-04-26,12995,1514,1,1,0,0
211,6,2013-04-27,8051,999,1,0,0,0
211,7,2013-04-28,0,0,0,0,0,0
211,1,2013-04-29,17503,1889,1,1,0,0
211,2,2013-04-30,18866,1963,1,1,0,0
211,3,2013-05-01,0,0,0,1,a,0
211,4,2013-05-02,17003,1847,1,1,0,0
211,5,2013-05-03,15710,1777,1,1,0,0
211,6,2013-05-04,9586,1194,1,0,0,0
211,7,2013-05-05,0,0,0,0,0,0
211,1,2013-05-06,12704,1573,1,0,0,0
211,2,2013-05-07,12490,1542,1,0,0,0
211,3,2013-05-08,13011,1590,1,0,0,0
211,4,2013-05-09,0,0,0,0,a,0
211,5,2013-05-10,12548,1485,1,0,0,1
211,6,2013-05-11,9666,1176,1,0,0,0
211,7,2013-05-12,0,0,0,0,0,0
211,1,2013-05-13,18351,1921,1,1,0,0
211,2,2013-05-14,16227,1740,1,1,0,0
211,3,2013-05-15,13439,1625,1,1,0,0
211,4,2013-05-16,13983,1642,1,1,0,0
211,5,2013-05-17,13929,1648,1,1,0,0
211,6,2013-05-18,8836,1028,1,0,0,0
211,7,2013-05-19,0,0,0,0,0,0
211,1,2013-05-20,0,0,0,0,a,0
211,2,2013-05-21,14076,1629,1,0,0,1
211,3,2013-05-22,9934,1279,1,0,0,0
211,4,2013-05-23,12363,1530,1,0,0,0
211,5,2013-05-24,11132,1397,1,0,0,0
211,6,2013-05-25,7450,886,1,0,0,0
211,7,2013-05-26,0,0,0,0,0,0
211,1,2013-05-27,18881,1928,1,1,0,0
211,2,2013-05-28,15026,1605,1,1,0,0
211,3,2013-05-29,13520,1472,1,1,0,0
211,4,2013-05-30,13489,1498,1,1,0,0
211,5,2013-05-31,14862,1635,1,1,0,0
211,6,2013-06-01,9694,1140,1,0,0,0
211,7,2013-06-02,0,0,0,0,0,0
211,1,2013-06-03,19069,1971,1,1,0,0
211,2,2013-06-04,16231,1789,1,1,0,0
211,3,2013-06-05,12976,1621,1,1,0,0
211,4,2013-06-06,13792,1603,1,1,0,0
211,5,2013-06-07,13698,1636,1,1,0,0
211,6,2013-06-08,9299,1123,1,0,0,0
211,7,2013-06-09,0,0,0,0,0,0
211,1,2013-06-10,12481,1617,1,0,0,0
211,2,2013-06-11,12284,1493,1,0,0,0
211,3,2013-06-12,10448,1364,1,0,0,0
211,4,2013-06-13,11076,1380,1,0,0,0
211,5,2013-06-14,11303,1387,1,0,0,0
211,6,2013-06-15,9686,1088,1,0,0,0
211,7,2013-06-16,0,0,0,0,0,0
211,1,2013-06-17,19859,2080,1,1,0,0
211,2,2013-06-18,15554,1738,1,1,0,0
211,3,2013-06-19,12593,1493,1,1,0,1
211,4,2013-06-20,12126,1440,1,1,0,1
211,5,2013-06-21,13934,1504,1,1,0,1
211,6,2013-06-22,9525,1129,1,0,0,0
211,7,2013-06-23,0,0,0,0,0,0
211,1,2013-06-24,12041,1514,1,0,0,1
211,2,2013-06-25,8417,987,1,0,0,1
211,3,2013-06-26,10970,1296,1,0,0,1
211,4,2013-06-27,10266,1270,1,0,0,1
211,5,2013-06-28,12712,1370,1,0,0,1
211,6,2013-06-29,8860,1017,1,0,0,0
211,7,2013-06-30,0,0,0,0,0,0
211,1,2013-07-01,19367,1970,1,1,0,1
211,2,2013-07-02,16242,1732,1,1,0,1
211,3,2013-07-03,13297,1432,1,1,0,1
211,4,2013-07-04,13530,1558,1,1,0,1
211,5,2013-07-05,13530,1551,1,1,0,1
211,6,2013-07-06,9235,1074,1,0,0,0
211,7,2013-07-07,0,0,0,0,0,0
211,1,2013-07-08,11898,1441,1,0,0,1
211,2,2013-07-09,11216,1373,1,0,0,1
211,3,2013-07-10,10721,1287,1,0,0,1
211,4,2013-07-11,11563,1371,1,0,0,1
211,5,2013-07-12,10607,1295,1,0,0,1
211,6,2013-07-13,8028,961,1,0,0,0
211,7,2013-07-14,0,0,0,0,0,0
211,1,2013-07-15,18847,1915,1,1,0,1
211,2,2013-07-16,14480,1609,1,1,0,1
211,3,2013-07-17,12282,1371,1,1,0,1
211,4,2013-07-18,12314,1461,1,1,0,1
211,5,2013-07-19,12920,1545,1,1,0,1
211,6,2013-07-20,8244,1123,1,0,0,0
211,7,2013-07-21,0,0,0,0,0,0
211,1,2013-07-22,10610,1343,1,0,0,1
211,2,2013-07-23,9957,1297,1,0,0,1
211,3,2013-07-24,9040,1141,1,0,0,1
211,4,2013-07-25,9992,1299,1,0,0,1
211,5,2013-07-26,9334,1198,1,0,0,1
211,6,2013-07-27,7641,940,1,0,0,0
211,7,2013-07-28,0,0,0,0,0,0
211,1,2013-07-29,17204,1720,1,1,0,1
211,2,2013-07-30,16381,1596,1,1,0,1
211,3,2013-07-31,16328,1753,1,1,0,1
211,4,2013-08-01,15474,1703,1,1,0,1
211,5,2013-08-02,13715,1553,1,1,0,1
211,6,2013-08-03,8665,1077,1,0,0,0
211,7,2013-08-04,0,0,0,0,0,0
211,1,2013-08-05,13061,1631,1,0,0,0
211,2,2013-08-06,11115,1452,1,0,0,0
211,3,2013-08-07,10553,1296,1,0,0,0
211,4,2013-08-08,10376,1403,1,0,0,0
211,5,2013-08-09,10909,1378,1,0,0,0
211,6,2013-08-10,8268,1032,1,0,0,0
211,7,2013-08-11,0,0,0,0,0,0
211,1,2013-08-12,18960,1991,1,1,0,0
211,2,2013-08-13,16011,1747,1,1,0,0
211,3,2013-08-14,14682,1592,1,1,0,0
211,4,2013-08-15,15428,1719,1,1,0,0
211,5,2013-08-16,12313,1591,1,1,0,0
211,6,2013-08-17,7840,1024,1,0,0,0
211,7,2013-08-18,0,0,0,0,0,0
211,1,2013-08-19,11147,1398,1,0,0,0
211,2,2013-08-20,11198,1385,1,0,0,0
211,3,2013-08-21,9986,1274,1,0,0,0
211,4,2013-08-22,9992,1381,1,0,0,0
211,5,2013-08-23,10013,1324,1,0,0,0
211,6,2013-08-24,8353,1057,1,0,0,0
211,7,2013-08-25,0,0,0,0,0,0
211,1,2013-08-26,17928,1869,1,1,0,0
211,2,2013-08-27,14445,1606,1,1,0,0
211,3,2013-08-28,13231,1508,1,1,0,0
211,4,2013-08-29,13137,1495,1,1,0,0
211,5,2013-08-30,15058,1579,1,1,0,0
211,6,2013-08-31,10058,1125,1,0,0,0
211,7,2013-09-01,0,0,0,0,0,0
211,1,2013-09-02,11843,1397,1,0,0,0
211,2,2013-09-03,10555,1377,1,0,0,0
211,3,2013-09-04,10852,1343,1,0,0,0
211,4,2013-09-05,10525,1340,1,0,0,0
211,5,2013-09-06,9977,1302,1,0,0,0
211,6,2013-09-07,8449,999,1,0,0,0
211,7,2013-09-08,0,0,0,0,0,0
211,1,2013-09-09,16222,1622,1,1,0,0
211,2,2013-09-10,15749,1643,1,1,0,0
211,3,2013-09-11,13963,1474,1,1,0,0
211,4,2013-09-12,13124,1514,1,1,0,0
211,5,2013-09-13,13401,1534,1,1,0,0
211,6,2013-09-14,8395,982,1,0,0,0
211,7,2013-09-15,0,0,0,0,0,0
211,1,2013-09-16,11173,1391,1,0,0,0
211,2,2013-09-17,10044,1268,1,0,0,0
211,3,2013-09-18,8605,1091,1,0,0,0
211,4,2013-09-19,9114,1253,1,0,0,0
211,5,2013-09-20,9163,1139,1,0,0,0
211,6,2013-09-21,7769,983,1,0,0,0
211,7,2013-09-22,0,0,0,0,0,0
211,1,2013-09-23,14664,1596,1,1,0,0
211,2,2013-09-24,12048,1417,1,1,0,0
211,3,2013-09-25,13118,1470,1,1,0,0
211,4,2013-09-26,12649,1438,1,1,0,0
211,5,2013-09-27,12795,1485,1,1,0,0
211,6,2013-09-28,9017,980,1,0,0,0
211,7,2013-09-29,0,0,0,0,0,0
211,1,2013-09-30,12880,1499,1,0,0,1
211,2,2013-10-01,12063,1414,1,0,0,1
211,3,2013-10-02,11407,1419,1,0,0,1
211,4,2013-10-03,0,0,0,0,a,1
211,5,2013-10-04,12242,1432,1,0,0,1
211,6,2013-10-05,8675,999,1,0,0,0
211,7,2013-10-06,0,0,0,0,0,0
211,1,2013-10-07,19024,1895,1,1,0,1
211,2,2013-10-08,16188,1649,1,1,0,1
211,3,2013-10-09,13030,1429,1,1,0,1
211,4,2013-10-10,12146,1358,1,1,0,1
211,5,2013-10-11,12233,1388,1,1,0,1
211,6,2013-10-12,7924,953,1,0,0,0
211,7,2013-10-13,0,0,0,0,0,0
211,1,2013-10-14,11733,1450,1,0,0,0
211,2,2013-10-15,9917,1308,1,0,0,0
211,3,2013-10-16,10456,1345,1,0,0,0
211,4,2013-10-17,10717,1359,1,0,0,0
211,5,2013-10-18,10050,1306,1,0,0,0
211,6,2013-10-19,8283,1059,1,0,0,0
211,7,2013-10-20,0,0,0,0,0,0
211,1,2013-10-21,17541,1873,1,1,0,0
211,2,2013-10-22,13816,1620,1,1,0,0
211,3,2013-10-23,12211,1425,1,1,0,0
211,4,2013-10-24,12804,1529,1,1,0,0
211,5,2013-10-25,12092,1461,1,1,0,0
211,6,2013-10-26,8847,1035,1,0,0,0
211,7,2013-10-27,0,0,0,0,0,0
211,1,2013-10-28,10430,1343,1,0,0,0
211,2,2013-10-29,10297,1351,1,0,0,0
211,3,2013-10-30,10871,1359,1,0,0,0
211,4,2013-10-31,12892,1558,1,0,0,0
211,5,2013-11-01,11563,1407,1,0,0,0
211,6,2013-11-02,8313,952,1,0,0,0
211,7,2013-11-03,0,0,0,0,0,0
211,1,2013-11-04,16848,1753,1,1,0,0
211,2,2013-11-05,15853,1666,1,1,0,0
211,3,2013-11-06,12932,1468,1,1,0,0
211,4,2013-11-07,13143,1482,1,1,0,0
211,5,2013-11-08,13176,1526,1,1,0,0
211,6,2013-11-09,8902,1048,1,0,0,0
211,7,2013-11-10,0,0,0,0,0,0
211,1,2013-11-11,12190,1474,1,0,0,0
211,2,2013-11-12,11286,1421,1,0,0,0
211,3,2013-11-13,9676,1290,1,0,0,0
211,4,2013-11-14,9998,1339,1,0,0,0
211,5,2013-11-15,11169,1340,1,0,0,0
211,6,2013-11-16,8979,1075,1,0,0,0
211,7,2013-11-17,0,0,0,0,0,0
211,1,2013-11-18,17926,1815,1,1,0,0
211,2,2013-11-19,15205,1674,1,1,0,0
211,3,2013-11-20,12122,1397,1,1,0,0
211,4,2013-11-21,13498,1620,1,1,0,0
211,5,2013-11-22,13003,1493,1,1,0,0
211,6,2013-11-23,10387,1155,1,0,0,0
211,7,2013-11-24,0,0,0,0,0,0
211,1,2013-11-25,12823,1527,1,0,0,0
211,2,2013-11-26,11899,1490,1,0,0,0
211,3,2013-11-27,10995,1340,1,0,0,0
211,4,2013-11-28,12362,1413,1,0,0,0
211,5,2013-11-29,14553,1493,1,0,0,0
211,6,2013-11-30,11494,1237,1,0,0,0
211,7,2013-12-01,0,0,0,0,0,0
211,1,2013-12-02,22498,2233,1,1,0,0
211,2,2013-12-03,18900,1930,1,1,0,0
211,3,2013-12-04,17175,1726,1,1,0,0
211,4,2013-12-05,18867,1922,1,1,0,0
211,5,2013-12-06,11270,1268,1,1,0,0
211,6,2013-12-07,9989,1141,1,0,0,0
211,7,2013-12-08,0,0,0,0,0,0
211,1,2013-12-09,13169,1639,1,0,0,0
211,2,2013-12-10,12180,1515,1,0,0,0
211,3,2013-12-11,12928,1492,1,0,0,0
211,4,2013-12-12,12857,1507,1,0,0,0
211,5,2013-12-13,11702,1446,1,0,0,0
211,6,2013-12-14,10282,1186,1,0,0,0
211,7,2013-12-15,0,0,0,0,0,0
211,1,2013-12-16,26914,2407,1,1,0,0
211,2,2013-12-17,20909,2042,1,1,0,0
211,3,2013-12-18,18951,1867,1,1,0,0
211,4,2013-12-19,18580,1954,1,1,0,0
211,5,2013-12-20,18024,1878,1,1,0,0
211,6,2013-12-21,13402,1440,1,0,0,0
211,7,2013-12-22,0,0,0,0,0,0
211,1,2013-12-23,19075,2125,1,0,0,1
211,2,2013-12-24,5703,679,1,0,0,1
211,3,2013-12-25,0,0,0,0,c,1
211,4,2013-12-26,0,0,0,0,c,1
211,5,2013-12-27,11778,1443,1,0,0,1
211,6,2013-12-28,9580,1115,1,0,0,0
211,7,2013-12-29,0,0,0,0,0,0
211,1,2013-12-30,15152,1708,1,0,0,1
211,2,2013-12-31,5942,723,1,0,0,1
211,3,2014-01-01,0,0,0,0,a,1
211,4,2014-01-02,11489,1430,1,0,0,1
211,5,2014-01-03,12413,1472,1,0,0,1
211,6,2014-01-04,9154,1108,1,0,0,0
211,7,2014-01-05,0,0,0,0,0,0
211,1,2014-01-06,18298,1954,1,1,0,0
211,2,2014-01-07,17820,1895,1,1,0,0
211,3,2014-01-08,14037,1527,1,1,0,0
211,4,2014-01-09,14206,1579,1,1,0,0
211,5,2014-01-10,13342,1568,1,1,0,0
211,6,2014-01-11,9538,1165,1,0,0,0
211,7,2014-01-12,0,0,0,0,0,0
211,1,2014-01-13,11291,1514,1,0,0,0
211,2,2014-01-14,10595,1412,1,0,0,0
211,3,2014-01-15,10084,1351,1,0,0,0
211,4,2014-01-16,9142,1202,1,0,0,0
211,5,2014-01-17,10977,1388,1,0,0,0
211,6,2014-01-18,8299,1089,1,0,0,0
211,7,2014-01-19,0,0,0,0,0,0
211,1,2014-01-20,13944,1462,1,1,0,0
211,2,2014-01-21,13351,1520,1,1,0,0
211,3,2014-01-22,13749,1548,1,1,0,0
211,4,2014-01-23,13568,1557,1,1,0,0
211,5,2014-01-24,13008,1569,1,1,0,0
211,6,2014-01-25,8782,1052,1,0,0,0
211,7,2014-01-26,0,0,0,0,0,0
211,1,2014-01-27,10030,1306,1,0,0,0
211,2,2014-01-28,10854,1418,1,0,0,0
211,3,2014-01-29,10177,1350,1,0,0,0
211,4,2014-01-30,11176,1456,1,0,0,0
211,5,2014-01-31,13196,1556,1,0,0,0
211,6,2014-02-01,10292,1192,1,0,0,0
211,7,2014-02-02,0,0,0,0,0,0
211,1,2014-02-03,21118,1977,1,1,0,1
211,2,2014-02-04,17572,1884,1,1,0,1
211,3,2014-02-05,15119,1619,1,1,0,1
211,4,2014-02-06,14523,1623,1,1,0,1
211,5,2014-02-07,11696,1398,1,1,0,1
211,6,2014-02-08,8582,1021,1,0,0,0
211,7,2014-02-09,0,0,0,0,0,0
211,1,2014-02-10,12651,1572,1,0,0,0
211,2,2014-02-11,11241,1454,1,0,0,0
211,3,2014-02-12,10617,1382,1,0,0,0
211,4,2014-02-13,10948,1407,1,0,0,0
211,5,2014-02-14,10781,1407,1,0,0,0
211,6,2014-02-15,8782,1081,1,0,0,0
211,7,2014-02-16,0,0,0,0,0,0
211,1,2014-02-17,19052,2057,1,1,0,0
211,2,2014-02-18,15664,1742,1,1,0,0
211,3,2014-02-19,12886,1511,1,1,0,0
211,4,2014-02-20,13837,1619,1,1,0,0
211,5,2014-02-21,12790,1457,1,1,0,0
211,6,2014-02-22,9595,1171,1,0,0,0
211,7,2014-02-23,0,0,0,0,0,0
211,1,2014-02-24,12296,1570,1,0,0,0
211,2,2014-02-25,10457,1386,1,0,0,0
211,3,2014-02-26,11255,1409,1,0,0,0
211,4,2014-02-27,11735,1419,1,0,0,0
211,5,2014-02-28,12292,1486,1,0,0,0
211,6,2014-03-01,10454,1202,1,0,0,0
211,7,2014-03-02,0,0,0,0,0,0
211,1,2014-03-03,20349,2139,1,1,0,0
211,2,2014-03-04,16372,1767,1,1,0,0
211,3,2014-03-05,14004,1633,1,1,0,0
211,4,2014-03-06,13368,1633,1,1,0,0
211,5,2014-03-07,13330,1584,1,1,0,0
211,6,2014-03-08,9148,1156,1,0,0,0
211,7,2014-03-09,0,0,0,0,0,0
211,1,2014-03-10,11624,1558,1,0,0,0
211,2,2014-03-11,10320,1437,1,0,0,0
211,3,2014-03-12,10408,1361,1,0,0,0
211,4,2014-03-13,11051,1443,1,0,0,0
211,5,2014-03-14,10724,1406,1,0,0,0
211,6,2014-03-15,8860,1018,1,0,0,0
211,7,2014-03-16,0,0,0,0,0,0
211,1,2014-03-17,17164,1909,1,1,0,0
211,2,2014-03-18,14482,1681,1,1,0,0
211,3,2014-03-19,12281,1447,1,1,0,0
211,4,2014-03-20,12987,1585,1,1,0,0
211,5,2014-03-21,12695,1480,1,1,0,0
211,6,2014-03-22,8551,1018,1,0,0,0
211,7,2014-03-23,0,0,0,0,0,0
211,1,2014-03-24,11462,1487,1,0,0,0
211,2,2014-03-25,10219,1392,1,0,0,0
211,3,2014-03-26,10694,1334,1,0,0,0
211,4,2014-03-27,11038,1409,1,0,0,0
211,5,2014-03-28,10764,1312,1,0,0,0
211,6,2014-03-29,8302,1008,1,0,0,0
211,7,2014-03-30,0,0,0,0,0,0
211,1,2014-03-31,19153,1949,1,1,0,0
211,2,2014-04-01,17223,1830,1,1,0,0
211,3,2014-04-02,15105,1651,1,1,0,0
211,4,2014-04-03,14865,1712,1,1,0,0
211,5,2014-04-04,15095,1627,1,1,0,0
211,6,2014-04-05,9362,1106,1,0,0,0
211,7,2014-04-06,0,0,0,0,0,0
211,1,2014-04-07,12571,1551,1,0,0,0
211,2,2014-04-08,10592,1395,1,0,0,0
211,3,2014-04-09,10798,1384,1,0,0,0
211,4,2014-04-10,11223,1401,1,0,0,0
211,5,2014-04-11,11741,1440,1,0,0,0
211,6,2014-04-12,8969,1073,1,0,0,0
211,7,2014-04-13,0,0,0,0,0,0
211,1,2014-04-14,17461,1759,1,1,0,1
211,2,2014-04-15,18303,1836,1,1,0,1
211,3,2014-04-16,16798,1756,1,1,0,1
211,4,2014-04-17,16863,1818,1,1,0,1
211,5,2014-04-18,0,0,0,1,b,1
211,6,2014-04-19,11111,1290,1,0,0,0
211,7,2014-04-20,0,0,0,0,0,0
211,1,2014-04-21,0,0,0,0,b,1
211,2,2014-04-22,12325,1566,1,0,0,1
211,3,2014-04-23,10309,1316,1,0,0,1
211,4,2014-04-24,10973,1389,1,0,0,1
211,5,2014-04-25,9765,1242,1,0,0,1
211,6,2014-04-26,8043,1016,1,0,0,0
211,7,2014-04-27,0,0,0,0,0,0
211,1,2014-04-28,17894,1933,1,1,0,0
211,2,2014-04-29,16480,1743,1,1,0,0
211,3,2014-04-30,16659,1842,1,1,0,0
211,4,2014-05-01,0,0,0,1,a,0
211,5,2014-05-02,16455,1628,1,1,0,1
211,6,2014-05-03,9833,1208,1,0,0,0
211,7,2014-05-04,0,0,0,0,0,0
211,1,2014-05-05,19852,2057,1,1,0,0
211,2,2014-05-06,16633,1760,1,1,0,0
211,3,2014-05-07,13481,1558,1,1,0,0
211,4,2014-05-08,15142,1666,1,1,0,0
211,5,2014-05-09,13027,1549,1,1,0,0
211,6,2014-05-10,9210,1111,1,0,0,0
211,7,2014-05-11,0,0,0,0,0,0
211,1,2014-05-12,11592,1487,1,0,0,0
211,2,2014-05-13,10745,1429,1,0,0,0
211,3,2014-05-14,11029,1366,1,0,0,0
211,4,2014-05-15,10288,1323,1,0,0,0
211,5,2014-05-16,9869,1327,1,0,0,0
211,6,2014-05-17,8356,1044,1,0,0,0
211,7,2014-05-18,0,0,0,0,0,0
211,1,2014-05-19,17700,1860,1,1,0,0
211,2,2014-05-20,14838,1654,1,1,0,0
211,3,2014-05-21,12905,1555,1,1,0,0
211,4,2014-05-22,12528,1573,1,1,0,0
211,5,2014-05-23,12874,1508,1,1,0,0
211,6,2014-05-24,9245,1091,1,0,0,0
211,7,2014-05-25,0,0,0,0,0,0
211,1,2014-05-26,12304,1558,1,0,0,0
211,2,2014-05-27,11037,1411,1,0,0,0
211,3,2014-05-28,10792,1320,1,0,0,0
211,4,2014-05-29,0,0,0,0,a,0
211,5,2014-05-30,14558,1633,1,0,0,1
211,6,2014-05-31,10256,1166,1,0,0,0
211,7,2014-06-01,0,0,0,0,0,0
211,1,2014-06-02,21137,2117,1,1,0,0
211,2,2014-06-03,18690,1916,1,1,0,0
211,3,2014-06-04,15088,1673,1,1,0,0
211,4,2014-06-05,14910,1616,1,1,0,0
211,5,2014-06-06,15688,1756,1,1,0,0
211,6,2014-06-07,9892,1196,1,0,0,0
211,7,2014-06-08,0,0,0,0,0,0
211,1,2014-06-09,0,0,0,0,a,0
211,2,2014-06-10,13167,1619,1,0,0,0
211,3,2014-06-11,10303,1282,1,0,0,0
211,4,2014-06-12,12965,1617,1,0,0,0
211,5,2014-06-13,12162,1485,1,0,0,0
211,6,2014-06-14,8781,1008,1,0,0,0
211,7,2014-06-15,0,0,0,0,0,0
211,1,2014-06-16,18216,1944,1,1,0,0
211,2,2014-06-17,16320,1789,1,1,0,0
211,3,2014-06-18,14493,1589,1,1,0,0
211,4,2014-06-19,14053,1639,1,1,0,0
211,5,2014-06-20,13266,1589,1,1,0,0
211,6,2014-06-21,8781,1044,1,0,0,0
211,7,2014-06-22,0,0,0,0,0,0
211,1,2014-06-23,12078,1493,1,0,0,0
211,2,2014-06-24,11630,1454,1,0,0,0
211,3,2014-06-25,9020,1118,1,0,0,0
211,4,2014-06-26,10442,1335,1,0,0,0
211,5,2014-06-27,11056,1437,1,0,0,0
211,6,2014-06-28,9043,1040,1,0,0,0
211,7,2014-06-29,0,0,0,0,0,0
211,1,2014-06-30,20611,2062,1,1,0,0
211,2,2014-07-01,17565,1859,1,1,0,0
211,3,2014-07-02,16550,1698,1,1,0,0
211,4,2014-07-03,14876,1738,1,1,0,0
211,5,2014-07-04,11881,1485,1,1,0,0
211,6,2014-07-05,9874,1128,1,0,0,0
211,7,2014-07-06,0,0,0,0,0,0
211,1,2014-07-07,12960,1574,1,0,0,0
211,2,2014-07-08,10955,1325,1,0,0,0
211,3,2014-07-09,11344,1386,1,0,0,1
211,4,2014-07-10,13490,1631,1,0,0,1
211,5,2014-07-11,12154,1489,1,0,0,1
211,6,2014-07-12,9256,1044,1,0,0,0
211,7,2014-07-13,0,0,0,0,0,0
211,1,2014-07-14,15884,1654,1,1,0,1
211,2,2014-07-15,14027,1573,1,1,0,1
211,3,2014-07-16,14215,1542,1,1,0,1
211,4,2014-07-17,13140,1518,1,1,0,1
211,5,2014-07-18,11874,1455,1,1,0,1
